Country,CountryCode,FDI,energy,trees,CO2aggregate,export,trade,import,GDP,Fuelimports,CO2
Angola,AGO,-5.913333838,54.69,53.87217454,25209.99908,40.79075505,70.48568891,17.03878307,-3.868559124,14.11714488,0.792137069
Albania,ALB,7.797918141,40.2,28.7919708,4829.999924,31.30427013,55.92192342,44.97492449,2.523893723,8.110387523,1.69224832
United Arab Emirates,ARE,4.284274398,0.67,4.467755562,188860.0006,96.84353346,162.4510363,70.85061919,1.934431483,19.31971355,19.32956328
Argentina,ARG,1.468400457,10.74,10.48017861,168100.0061,17.69594407,25.22865533,14.51850312,-2.994387889,8.536317759,3.740650291
Armenia,ARM,0.736361472,10.34,11.54478398,6170.000076,41.35080136,59.87095645,54.76335277,7.38219728,15.094775,2.086060678
Antigua and Barbuda,ATG,7.57100155,0.91,18.59090909,519.9999809,70.88471449,43.79172757,68.52545025,3.96278456,0.527559206,5.354476455
Australia,AUS,2.809090017,10.13,17.42131456,386529.9988,24.16972729,35.38691129,21.67531245,0.571102988,12.58872535,15.23826715
Austria,AUT,-2.948459382,33.77,47.20746486,64769.99664,55.44220654,81.66703459,52.03602076,1.04090812,7.787680225,7.293984252
Azerbaijan,AZE,3.121830561,1.62,13.55336705,35509.99832,49.0506275,69.13238954,36.76751791,1.635850481,6.061228766,3.542397828
Burundi,BDI,0.040482327,84.77,10.8894081,720.0000286,5.172036838,41.33627148,23.8541694,-1.323758173,18.54635221,0.062442671
Belgium,BEL,-5.617632907,10.21,22.76420079,93010.00214,82.17413933,163.5828983,81.51894377,1.561146953,11.71762129,8.095583954
Benin,BEN,1.516207775,46.47,28.24716211,7300.000191,29.63052719,48.52801606,34.05080512,4.003089135,19.84585359,0.618583746
Burkina Faso,BFA,1.007346446,64.85,22.90350877,5000,27.61611212,46.50095596,31.04805512,2.724072125,28.21955516,0.246046246
Bangladesh,BGD,0.543233649,24.75,14.46877161,90739.99786,13.09475734,28.02398291,18.48329716,6.777292217,0,0.556529455
Bulgaria,BGR,3.223154012,19.34,35.74060427,39139.99939,63.93434335,103.0291972,60.70608677,4.772502064,13.82639407,5.61085728
"Bahamas, The",BHS,3.655246092,1.14,50.93506494,2839.999914,35.6884058,28.3639561,36.23188406,0.888676588,0,7.291661097
Bosnia and Herzegovina,BIH,2.217060429,37.02,42.73261719,21069.99969,40.57012012,87.80117892,55.22430569,3.545336186,14.01687178,6.382918043
Belarus,BLR,1.976877774,7.83,43.12615476,57669.99817,65.09458399,112.4552038,65.75582211,1.604818192,24.78836923,6.122237765
Belize,BLZ,4.827668954,29.09,56.47566857,639.9999857,59.65042331,74.43772392,59.59387532,0.063361176,14.98779561,1.639550009
Bolivia,BOL,-0.529735011,8.67,47.10953568,22340.00015,24.96726228,45.33770296,31.43004444,0.796515958,16.25257386,1.940398005
Brazil,BRA,3.692673304,47.57,59.55852618,434299.9878,14.12291919,22.11560448,14.76733868,0.462903687,13.85695605,2.057810839
Barbados,BRB,4.060396991,4.31,14.65116279,1250,36.6201692,38.17755025,38.11437565,-0.74220746,23.02684362,4.355082032
Brunei Darussalam,BRN,2.771141484,0.01,72.10626186,6989.999771,57.94604054,90.14491591,50.56361782,2.829690022,33.68842415,16.13215855
Bhutan,BTN,0.513136317,82.27,71.39748296,1049.999952,33.93906381,65.26907839,48.18954167,4.549737283,0,1.375977209
Botswana,BWA,0.560658543,25.57,27.12579182,7250,37.15431087,70.68191778,46.08761458,1.122135896,12.46467457,3.147107071
Central African Republic,CAF,1.152529651,91.26,35.84866288,239.9999946,15.75538,33.76399077,34.31042,1.38780065,0,0.050577648
Canada,CAN,2.78685844,22.11,38.69963717,580210.022,31.90853262,52.24765437,33.50382946,0.426917853,7.326385934,15.43061283
Switzerland,CHE,1.199139732,24.76,32.02928027,37380.00107,65.53170428,80.86777323,53.68383217,0.491609145,3.503316541,4.359041462
Chile,CHL,4.518053651,25.26,24.32686152,91370.00275,27.83413159,49.77013581,29.69384226,-0.414485105,16.22016453,4.821118299
China,CHN,1.310718778,14.45,23.14116554,10707219.73,18.40999232,32.0578644,17.48010372,5.575316863,17.8562823,7.605936961
Cote d'Ivoire,CIV,1.450101603,62.46,9.275471698,10829.99992,23.77627756,39.4810848,22.62463689,3.557682501,21.09923419,0.421129515
Cameroon,CMR,2.583196349,79.41,43.14797656,9430.000305,19.85009075,26.08456029,23.5284225,0.835333751,0,0.364424922
"Congo, Dem. Rep.",COD,2.609314437,96.24,56.13312896,3210.000038,25.7562387,42.89066866,29.36018064,1.110159543,4.343649542,0.036985586
"Congo, Rep.",COG,-11.19718689,68.67,64.30746706,7260.000229,73.79228775,61.31601804,53.16332288,-2.614952336,3.646288276,1.349316017
