SNo,Date,Covid Status
1,1/1/2010,0
2,1/2/2010,0
3,1/3/2010,0
4,1/4/2010,0
5,1/5/2010,0
6,1/6/2010,0
7,1/7/2010,0
8,1/8/2010,0
9,1/9/2010,0
10,1/10/2010,0
11,1/11/2010,0
12,1/12/2010,0
13,1/13/2010,0
14,1/14/2010,0
15,1/15/2010,0
16,1/16/2010,0
17,1/17/2010,0
18,1/18/2010,0
19,1/19/2010,0
20,1/20/2010,0
21,1/21/2010,0
22,1/22/2010,0
23,1/23/2010,0
24,1/24/2010,0
25,1/25/2010,0
26,1/26/2010,0
27,1/27/2010,0
28,1/28/2010,0
29,1/29/2010,0
30,1/30/2010,0
31,1/31/2010,0
32,2/1/2010,0
33,2/2/2010,0
34,2/3/2010,0
35,2/4/2010,0
36,2/5/2010,0
37,2/6/2010,0
38,2/7/2010,0
39,2/8/2010,0
40,2/9/2010,0
41,2/10/2010,0
42,2/11/2010,0
43,2/12/2010,0
44,2/13/2010,0
45,2/14/2010,0
46,2/15/2010,0
47,2/16/2010,0
48,2/17/2010,0
49,2/18/2010,0
50,2/19/2010,0
51,2/20/2010,0
52,2/21/2010,0
53,2/22/2010,0
54,2/23/2010,0
55,2/24/2010,0
56,2/25/2010,0
57,2/26/2010,0
58,2/27/2010,0
59,2/28/2010,0
60,3/1/2010,0
61,3/2/2010,0
62,3/3/2010,0
63,3/4/2010,0
64,3/5/2010,0
65,3/6/2010,0
66,3/7/2010,0
67,3/8/2010,0
68,3/9/2010,0
69,3/10/2010,0
70,3/11/2010,0
71,3/12/2010,0
72,3/13/2010,0
73,3/14/2010,0
74,3/15/2010,0
75,3/16/2010,0
76,3/17/2010,0
77,3/18/2010,0
78,3/19/2010,0
79,3/20/2010,0
80,3/21/2010,0
81,3/22/2010,0
82,3/23/2010,0
83,3/24/2010,0
84,3/25/2010,0
85,3/26/2010,0
86,3/27/2010,0
87,3/28/2010,0
88,3/29/2010,0
89,3/30/2010,0
90,3/31/2010,0
91,4/1/2010,0
92,4/2/2010,0
93,4/3/2010,0
94,4/4/2010,0
95,4/5/2010,0
96,4/6/2010,0
97,4/7/2010,0
98,4/8/2010,0
99,4/9/2010,0
100,4/10/2010,0
101,4/11/2010,0
102,4/12/2010,0
103,4/13/2010,0
104,4/14/2010,0
105,4/15/2010,0
106,4/16/2010,0
107,4/17/2010,0
108,4/18/2010,0
109,4/19/2010,0
110,4/20/2010,0
111,4/21/2010,0
112,4/22/2010,0
113,4/23/2010,0
114,4/24/2010,0
115,4/25/2010,0
116,4/26/2010,0
117,4/27/2010,0
118,4/28/2010,0
119,4/29/2010,0
120,4/30/2010,0
121,5/1/2010,0
122,5/2/2010,0
123,5/3/2010,0
124,5/4/2010,0
125,5/5/2010,0
126,5/6/2010,0
127,5/7/2010,0
128,5/8/2010,0
129,5/9/2010,0
130,5/10/2010,0
131,5/11/2010,0
132,5/12/2010,0
133,5/13/2010,0
134,5/14/2010,0
135,5/15/2010,0
136,5/16/2010,0
137,5/17/2010,0
138,5/18/2010,0
139,5/19/2010,0
140,5/20/2010,0
141,5/21/2010,0
142,5/22/2010,0
143,5/23/2010,0
144,5/24/2010,0
145,5/25/2010,0
146,5/26/2010,0
147,5/27/2010,0
148,5/28/2010,0
149,5/29/2010,0
150,5/30/2010,0
151,5/31/2010,0
152,6/1/2010,0
153,6/2/2010,0
154,6/3/2010,0
155,6/4/2010,0
156,6/5/2010,0
157,6/6/2010,0
158,6/7/2010,0
159,6/8/2010,0
160,6/9/2010,0
161,6/10/2010,0
162,6/11/2010,0
163,6/12/2010,0
164,6/13/2010,0
165,6/14/2010,0
166,6/15/2010,0
167,6/16/2010,0
168,6/17/2010,0
169,6/18/2010,0
170,6/19/2010,0
171,6/20/2010,0
172,6/21/2010,0
173,6/22/2010,0
174,6/23/2010,0
175,6/24/2010,0
176,6/25/2010,0
177,6/26/2010,0
178,6/27/2010,0
179,6/28/2010,0
180,6/29/2010,0
181,6/30/2010,0
182,7/1/2010,0
183,7/2/2010,0
184,7/3/2010,0
185,7/4/2010,0
186,7/5/2010,0
187,7/6/2010,0
188,7/7/2010,0
189,7/8/2010,0
190,7/9/2010,0
191,7/10/2010,0
192,7/11/2010,0
193,7/12/2010,0
194,7/13/2010,0
195,7/14/2010,0
196,7/15/2010,0
197,7/16/2010,0
198,7/17/2010,0
199,7/18/2010,0
200,7/19/2010,0
201,7/20/2010,0
202,7/21/2010,0
203,7/22/2010,0
204,7/23/2010,0
205,7/24/2010,0
206,7/25/2010,0
207,7/26/2010,0
208,7/27/2010,0
209,7/28/2010,0
210,7/29/2010,0
211,7/30/2010,0
212,7/31/2010,0
213,8/1/2010,0
214,8/2/2010,0
215,8/3/2010,0
216,8/4/2010,0
217,8/5/2010,0
218,8/6/2010,0
219,8/7/2010,0
220,8/8/2010,0
221,8/9/2010,0
222,8/10/2010,0
223,8/11/2010,0
224,8/12/2010,0
225,8/13/2010,0
226,8/14/2010,0
227,8/15/2010,0
228,8/16/2010,0
229,8/17/2010,0
230,8/18/2010,0
231,8/19/2010,0
232,8/20/2010,0
233,8/21/2010,0
234,8/22/2010,0
235,8/23/2010,0
236,8/24/2010,0
237,8/25/2010,0
238,8/26/2010,0
239,8/27/2010,0
240,8/28/2010,0
241,8/29/2010,0
242,8/30/2010,0
243,8/31/2010,0
244,9/1/2010,0
245,9/2/2010,0
246,9/3/2010,0
247,9/4/2010,0
248,9/5/2010,0
249,9/6/2010,0
250,9/7/2010,0
251,9/8/2010,0
252,9/9/2010,0
253,9/10/2010,0
254,9/11/2010,0
255,9/12/2010,0
256,9/13/2010,0
257,9/14/2010,0
258,9/15/2010,0
259,9/16/2010,0
260,9/17/2010,0
261,9/18/2010,0
262,9/19/2010,0
263,9/20/2010,0
264,9/21/2010,0
265,9/22/2010,0
266,9/23/2010,0
267,9/24/2010,0
268,9/25/2010,0
269,9/26/2010,0
270,9/27/2010,0
271,9/28/2010,0
272,9/29/2010,0
273,9/30/2010,0
274,10/1/2010,0
275,10/2/2010,0
276,10/3/2010,0
277,10/4/2010,0
278,10/5/2010,0
279,10/6/2010,0
280,10/7/2010,0
281,10/8/2010,0
282,10/9/2010,0
283,10/10/2010,0
284,10/11/2010,0
285,10/12/2010,0
286,10/13/2010,0
287,10/14/2010,0
288,10/15/2010,0
289,10/16/2010,0
290,10/17/2010,0
291,10/18/2010,0
292,10/19/2010,0
293,10/20/2010,0
294,10/21/2010,0
295,10/22/2010,0
296,10/23/2010,0
297,10/24/2010,0
298,10/25/2010,0
299,10/26/2010,0
300,10/27/2010,0
301,10/28/2010,0
302,10/29/2010,0
303,10/30/2010,0
304,10/31/2010,0
305,11/1/2010,0
306,11/2/2010,0
307,11/3/2010,0
308,11/4/2010,0
309,11/5/2010,0
310,11/6/2010,0
311,11/7/2010,0
312,11/8/2010,0
313,11/9/2010,0
314,11/10/2010,0
315,11/11/2010,0
316,11/12/2010,0
317,11/13/2010,0
318,11/14/2010,0
319,11/15/2010,0
320,11/16/2010,0
321,11/17/2010,0
322,11/18/2010,0
323,11/19/2010,0
324,11/20/2010,0
325,11/21/2010,0
326,11/22/2010,0
327,11/23/2010,0
328,11/24/2010,0
329,11/25/2010,0
330,11/26/2010,0
331,11/27/2010,0
332,11/28/2010,0
333,11/29/2010,0
