DATE,unemp_rate,gdp,dpi,ffe_rate,cpi,fnfhwage,mspus
1/1/63,6.6,150949,107206,2.965666667,1.219512195,1.15,17800
4/1/63,5.766666667,158886,108144,2.964505495,1.103752759,1.15,18000
7/1/63,5.2,159597,110007,3.326521739,1.208791209,1.183333333,17900
10/1/63,5.1,168017,112865,3.451304348,1.425438596,1.25,18500
1/1/64,6.166666667,162413,115880,3.464395604,1.533406353,1.25,18500
4/1/64,5.333333333,170097,118016,3.487912088,1.310043668,1.25,18900
7/1/64,4.733333333,171593,120115,3.456521739,1.194353963,1.25,18900
10/1/64,4.533333333,180356,122113,3.575108696,1.081081081,1.25,19400
1/1/65,5.433333333,173462,124341,3.977222222,1.078748652,1.25,20200
4/1/65,4.766666667,183818,126058,4.079450549,1.724137931,1.25,19800
7/1/65,4.166666667,185525,129761,4.0775,1.716738197,1.25,20200
10/1/65,3.733333333,199483,132838,4.17076087,1.818181818,1.25,20300
1/1/66,4.2,191022,135452,4.559,2.34791889,1.25,21000
4/1/66,3.966666667,201635,136812,4.913736264,2.754237288,1.25,22100
7/1/66,3.6,203439,139440,5.410652174,3.270042194,1.25,21500
10/1/66,3.366666667,217316,142258,5.559782609,3.676470588,1.25,21400
1/1/67,4.1,204098,145261,4.819444444,3.023983316,1.35,22300
4/1/67,3.766666667,213246,146796,3.992307692,2.680412371,1.4,23300
7/1/67,3.833333333,214456,149132,3.891847826,2.655771195,1.4,22500
10/1/67,3.666666667,228140,151574,4.172826087,2.73556231,1.4,22900
1/1/68,4,218405,156310,4.792637363,3.846153846,1.533333333,23900
4/1/68,3.533333333,234781,160170,5.984285714,4.016064257,1.6,24900
7/1/68,3.6,235737,162060,5.946521739,4.47761194,1.6,24800
10/1/68,3.2,251704,165385,5.918152174,4.733727811,1.6,25600
1/1/69,3.633333333,238912,168035,6.567444444,4.77582846,1.6,25700
4/1/69,3.4,254764,171341,8.332527473,5.501930502,1.6,25900
7/1/69,3.666666667,255302,176534,8.981086957,5.619047619,1.6,25900
10/1/69,3.333333333,268638,179921,8.941630435,5.93220339,1.6,24900
1/1/70,4.5,253998,184426,8.558888889,6.046511628,1.6,23900
