year,Series Id,State,Unemployment Rate,Average Hourly Earnings,RPP,HPI
2017,AL,Alabama,4.508333333,24.175,61.149,301.955
2018,AL,Alabama,3.941666667,24.8075,59.69,314.3275
2019,AL,Alabama,3.183333333,25.31916667,60.307,330
2020,AL,Alabama,6.425,26.28,59.613,349.1
2021,AL,Alabama,3.366666667,28.28833333,60.658,394.5575
2017,AK,Alaska,6.508333333,22.25469045,109.443,319.49
2018,AK,Alaska,6.041666667,23.19896196,104.493,322.7375
2019,AK,Alaska,5.591666667,26.35709106,100.943,330.11
2020,AK,Alaska,8.308333333,28.71816229,88.739,341.21
2021,AK,Alaska,6.433333333,25.55523881,102.864,369.6675
2017,AZ, Arizona,4.958333333,24.1275,93.535,368.9025
2018,AZ, Arizona,4.808333333,25.52166667,94.258,397.985
2019,AZ, Arizona,4.816666667,28.00166667,93.632,424.4775
2020,AZ, Arizona,7.833333333,29.92083333,97.971,459.3825
2021,AZ, Arizona,5.066666667,30.6425,102.39,560.1775
2017,AR,Arkansas,3.741666667,19.93,57.674,271.11
2018,AR,Arkansas,3.658333333,20.31,56.161,281.11
2019,AR,Arkansas,3.491666667,21.92,56.844,291.8075
2020,AR,Arkansas,6.2,22.99,56.933,303.9925
2021,AR,Arkansas,4.075,23.73,59.456,343.2775
2017,CA,California,4.833333333,29.38406695,162.427,596.4025
2018,CA,California,4.258333333,30.91003573,163.745,635.11
2019,CA,California,4.1,31.54057823,164.598,655.5975
2020,CA,California,10.2,33.17922946,166.067,683.4
2021,CA,California,7.325,34.1320883,164.896,779.4325
2017,CO,Colorado,2.608333333,31.25666667,128.909,507.2425
2018,CO,Colorado,3.05,31.29,128.353,549.66
2019,CO,Colorado,2.666666667,32.81666667,131.081,576.705
2020,CO,Colorado,6.766666667,31.83,130.4,604.6025
2021,CO,Colorado,5.458333333,32.46333333,129.485,696.9075
2017,CT,Connecticut,4.416666667,31.17,121.186,390.8175
2018,CT,Connecticut,3.883333333,34.82,122.023,395.2025
2019,CT,Connecticut,3.608333333,37.07,118.014,406.035
2020,CT,Connecticut,7.966666667,36.31,122.997,424.0425
2021,CT,Connecticut,6.291666667,35.6,120.894,482.8025
2017,DE,Delaware,4.466666667,23.89333333,94.698,438.8425
2018,DE,Delaware,3.708333333,24.70416667,99.298,453.38
2019,DE,Delaware,3.591666667,26.27833333,96.059,470.0425
2020,DE,Delaware,7.508333333,28.27083333,91.99,492.7125
2021,DE,Delaware,5.5,29.095,97.142,554.395
2017,FL,Florida,3.65,25.77,110.502,412.5625
2018,FL,Florida,3.25,26.63,110.752,444.0275
2019,FL,Florida,8.175,28.11,112.083,469.245
2020,FL,Florida,4.658333333,28.42,113.62,498.65
2021,FL,Florida,2.9,29.85,113.064,586.775
2017,GA,Georgia,4.758333333,23.47,81.767,333.135
2018,GA,Georgia,4,23.81,81.844,357.6775
2019,GA,Georgia,3.575,24.41,81.901,378.8975
2020,GA,Georgia,6.483333333,25.85,83.162,401.1675
2021,GA,Georgia,3.916666667,26.72,85.469,462.7475
2017,ID,Idaho,2.875,22.21916667,74.163,363.6275
2018,ID,Idaho,2.883333333,22.76583333,77.535,408.2075
2019,ID,Idaho,5.508333333,22.89083333,75.714,451.8
