Date,FedDebt,Unemployment rate,imports,exports,FDI,GDP,cpi,corruption
1/1/1995,4864116,5.97105,58697666667,47070333333,627421,1835147,2.840263576,7.79
4/1/1995,4951372,5.672956741,62360000000,49018666667,639620,1897424,3.09324904,7.79
7/1/1995,4973983,5.657255565,63241000000,47695000000,657479,1922827,2.641002686,7.79
10/1/1995,4988665,5.274278304,63548666667,51130333333,680066,1984353,2.650924482,7.79
1/1/1996,5117786,6.081306749,61951333333,51277000000,708199,1925313,2.739726027,7.66
4/1/1996,5161076,5.455593745,65239000000,52350666667,724898,2005112,2.847130968,7.66
7/1/1996,5224811,5.283515313,68005333333,49923666667,741495,2035152,2.943741823,7.66
10/1/1996,5323172,5.009321978,69901333333,54806000000,745619,2107553,3.190104167,7.66
1/1/1997,5380890,5.743595619,67736666667,54981666667,774287,2043518,2.946236559,7.61
4/1/1997,5376151,4.962808725,71472333333,58322333333,798074,2129626,2.34241908,7.61
7/1/1997,5413146,4.876665468,74910666667,56347000000,817168,2166497,2.20292311,7.61
10/1/1997,5502388,4.402033652,76103333333,60076666667,824136,2237911,1.871713985,7.61
1/1/1998,5542426,5.112440556,72238000000,57567666667,844196,2160749,1.462293712,7.5
4/1/1998,5547935,4.395902436,75553333333,56780333333,865242,2249930,1.602163962,7.5
7/1/1998,5526193,4.548279121,76928333333,53541333333,890366,2281444,1.595854922,7.5
10/1/1998,5614217,4.143811216,79246333333,59490000000,920044,2370698,1.548307184,7.5
1/1/1999,5651615,4.693564648,76562333333,55534666667,947703,2293218,1.667696109,7.5
4/1/1999,5638780,4.213034657,82941666667,57199000000,1091633,2388561,2.109359001,7.5
7/1/1999,5656271,4.261384232,88922666667,56622666667,1143463,2423833,2.345981232,7.5
10/1/1999,5776091,3.844163909,93112333333,62576333333,1121328,2525048,2.622484245,7.5
1/1/2000,5773392,4.414759839,94040000000,62602000000,1172550,2449139,3.24017821,7.8
4/1/2000,5685938,3.914981393,1.00E+11,65325666667,1267227,2569476,3.329322102,7.8
